Date,close,high,low,trade_count,open,volume,vwap,symbol
2024-04-22 04:00:00+00:00,177.23,178.87,174.56,396300,176.94,37924890,176.711314,AMZN
2024-04-23 04:00:00+00:00,179.54,179.93,175.975,379412,178.08,37046519,178.415625,AMZN
2024-04-24 04:00:00+00:00,176.59,180.323,176.18,405353,179.94,34185109,177.437896,AMZN
2024-04-25 04:00:00+00:00,173.67,173.92,166.32,618272,169.68,49249390,171.354794,AMZN
2024-04-26 04:00:00+00:00,179.62,180.82,176.13,478171,177.795,43919765,178.894487,AMZN
2024-04-29 04:00:00+00:00,180.96,183.53,179.39,592823,182.75,54067637,180.583398,AMZN
2024-04-30 04:00:00+00:00,175.0,182.99,174.8,852830,181.09,94639786,178.443841,AMZN
2024-05-01 04:00:00+00:00,179.0,185.15,176.56,964487,181.635,94645148,180.405862,AMZN
2024-05-02 04:00:00+00:00,184.72,185.1,179.91,529460,180.85,54303510,183.12466,AMZN
2024-05-03 04:00:00+00:00,186.21,187.87,185.42,413924,186.99,39172004,186.445169,AMZN
2024-05-06 04:00:00+00:00,188.7,188.745,184.8,394638,186.28,34725295,186.954206,AMZN
2024-05-07 04:00:00+00:00,188.76,189.94,187.305,400757,188.92,34048902,188.751958,AMZN
2024-05-08 04:00:00+00:00,188.0,188.43,186.385,306857,187.44,26136350,187.61745,AMZN
2024-05-09 04:00:00+00:00,189.5,191.7,187.44,460881,188.88,43368377,189.972152,AMZN
2024-05-10 04:00:00+00:00,187.48,189.892,186.93,355996,189.16,34141771,187.958963,AMZN
2024-05-13 04:00:00+00:00,186.57,188.31,185.36,333255,188.0,24898613,186.406811,AMZN
2024-05-14 04:00:00+00:00,187.07,187.72,183.45,426722,183.82,38698155,185.858368,AMZN
2024-05-15 04:00:00+00:00,185.99,186.7193,182.73,786217,185.97,75459927,184.675738,AMZN
2024-05-16 04:00:00+00:00,183.63,187.31,183.46,411940,185.6,38834450,185.187956,AMZN
2024-05-17 04:00:00+00:00,184.7,185.3,183.35,339447,183.76,33175655,184.519945,AMZN
2024-05-20 04:00:00+00:00,183.54,186.665,183.28,371996,184.34,30511768,184.457591,AMZN
2024-05-21 04:00:00+00:00,183.15,183.26,180.75,515624,182.3,50839129,181.807537,AMZN
2024-05-22 04:00:00+00:00,183.13,185.22,181.9715,344846,183.88,28148784,183.482605,AMZN
2024-05-23 04:00:00+00:00,181.05,184.76,180.08,384775,183.66,33670173,182.108728,AMZN
2024-05-24 04:00:00+00:00,180.75,182.435,180.3,333234,181.65,27471640,181.377051,AMZN
2024-05-28 04:00:00+00:00,182.15,182.24,179.49,401075,179.93,29926963,181.160129,AMZN
2024-05-29 04:00:00+00:00,182.02,184.08,181.55,361239,181.7,32009294,182.675606,AMZN
2024-05-30 04:00:00+00:00,179.32,181.34,178.355,392763,181.31,29249229,179.795015,AMZN
2024-05-31 04:00:00+00:00,176.44,179.21,173.87,614468,178.3,58903939,175.651666,AMZN
2024-06-03 04:00:00+00:00,178.34,178.7,175.92,415225,177.7,30786640,177.398797,AMZN
2024-06-04 04:00:00+00:00,179.34,179.82,176.44,329595,177.64,27198388,178.556019,AMZN
2024-06-05 04:00:00+00:00,181.28,181.5,178.75,362053,180.1,32116394,180.700672,AMZN
2024-06-06 04:00:00+00:00,185.0,185.0,181.49,374051,181.745,31371151,183.659941,AMZN
2024-06-07 04:00:00+00:00,184.3,186.2888,183.36,336108,184.9,28021473,184.938521,AMZN
2024-06-10 04:00:00+00:00,187.06,187.23,183.79,385196,184.07,34494498,186.312215,AMZN
2024-06-11 04:00:00+00:00,187.23,187.77,184.5373,341795,187.06,27265108,186.230869,AMZN
2024-06-12 04:00:00+00:00,186.89,188.35,185.43,443192,188.015,33984216,187.066896,AMZN
2024-06-13 04:00:00+00:00,183.83,187.67,182.666,422857,186.09,39721545,184.456996,AMZN
2024-06-14 04:00:00+00:00,183.66,183.72,182.23,307405,183.08,25456410,183.144888,AMZN
