Date,Symbol,Total_Return,Annualized_Return,Annualized_Volatility,Sharpe_Ratio,Max_Drawdown,Win_Rate,Avg_Win,Avg_Loss,Profit_Factor,Trade_Count
2025-04-23,GOOGL,0.027790626489871517,32.42737879699925,0.4778499435076673,67.81915376846592,-0.014546498156102983,0.36486486486486486,20.838185185185434,-8.490242553191393,2.4543686537379994,147
2025-04-24,GOOGL,0.06746453465377922,252.95714650164652,0.40609282219133785,622.8554967722889,-0.01594487494323038,0.36363636363636365,27.578677777777962,-8.977571428571334,3.0719530328667912,195
2025-04-25,GOOGL,0.028211658741172485,5.522130308613787,0.5737208903710099,9.590256169782673,-0.04542863085256743,0.29927007299270075,26.260312195122157,-9.482137499999984,2.7694506850509395,260
2025-04-28,GOOGL,0.009511025261685235,0.801135137318133,0.5291908991133255,1.476093293794257,-0.06616810425708575,0.2926829268292683,24.150304166666825,-9.6302017241379,2.507767215938436,313
2025-04-29,GOOGL,0.007829965969821329,0.5229206378906657,0.47403311456223535,1.060939884664192,-0.06616810425708575,0.2978723404255319,22.80915000000014,-9.442218181818141,2.415655893645971,358
2025-04-30,GOOGL,0.004511846610639081,0.2740494263412565,0.4337543720298548,0.5856988257026042,-0.07608402851008544,0.30414746543778803,21.62305454545466,-9.392270198675453,2.302218110005402,412
2025-05-01,GOOGL,-0.0040136050497772136,-0.05382183707532984,0.40506490745471474,-0.18224693306364226,-0.07657528031178407,0.3117408906882591,20.183397402597514,-9.422878235294078,2.14195672475095,474
2025-05-02,GOOGL,-0.005394976052973344,-0.08425878097043638,0.3789538787510721,-0.2751226120551785,-0.07855621321327433,0.3104693140794224,19.263181395348987,-8.971629842931899,2.1471217306769583,535
2025-05-05,GOOGL,-0.012314666684053344,-0.22481702052125097,0.3588177644613466,-0.682287904247906,-0.08305246989270643,0.3079470198675497,18.654216129032392,-8.7931822966507,2.121440850389026,582
2025-05-06,GOOGL,-0.02841896972495095,-0.45428084348238196,0.3481874485607894,-1.3621422754978434,-0.09800338634286165,0.3,18.231677777777914,-8.722473593073595,2.090195812373162,635
2025-05-07,GOOGL,-0.04340002854030778,-0.5851556585333263,0.33730169856864783,-1.7941079487631595,-0.11925035855164923,0.30532212885154064,17.695935779816622,-9.025685483870971,1.9606195907711954,689
2025-05-08,GOOGL,-0.04098833233057586,-0.5337522131099698,0.32402277477868574,-1.7089916395172964,-0.11925035855164923,0.30670103092783507,17.93684285714295,-9.025911524163561,1.987261099238968,749
2025-05-09,GOOGL,-0.039573961908969335,-0.4943135886336426,0.3118954151545578,-1.6489937448384029,-0.11925035855164923,0.30843373493975906,17.293189062500105,-8.702490592334499,1.9871540082712225,800
2025-05-12,GOOGL,-0.04533719822949678,-0.5216498337718039,0.30085390298629794,-1.800374960721293,-0.1209882569701548,0.30444444444444446,17.224614598540242,-8.569197444089463,2.0100615852212376,866
2025-05-13,GOOGL,-0.03785612624747792,-0.4330757334539327,0.293771665267289,-1.5422717267225226,-0.1209882569701548,0.31157894736842107,16.719994594594677,-8.401314373088693,1.9901641400484422,918
2025-05-14,GOOGL,-0.025839056233686986,-0.2943537748050975,0.2900488999400349,-1.0837957836423011,-0.1209882569701548,0.3108910891089109,17.1049121019109,-8.270923850574723,2.068077570406156,979
2025-05-15,GOOGL,-0.01776097014979594,-0.19187758434968083,0.28370774900129503,-0.7468163456780085,-0.1209882569701548,0.3145009416195857,16.96932874251505,-8.167595329670341,2.077640732379424,1024
2025-05-16,GOOGL,-0.026693926256154188,-0.2757159606584493,0.2773463822140039,-1.0662333443753784,-0.1209882569701548,0.3129496402877698,16.840685632183998,-8.190499214659681,2.056124442578771,1074
2025-05-19,GOOGL,-0.015396929734912135,-0.1479003454046881,0.2737969624228032,-0.6132293942158962,-0.1209882569701548,0.3190394511149228,16.65894784946245,-8.11582040302267,2.0526511211679797,1127
2025-05-20,GOOGL,-0.030162296045258885,-0.2829117557157005,0.27146180987148233,-1.1158540343450427,-0.1209882569701548,0.3191489361702128,16.303083076923176,-8.174619951923074,1.994353642469689,1181
2025-05-21,GOOGL,-0.0026110771007137323,0.008204078396674364,0.28338070626820383,-0.04162570472303596,-0.1209882569701548,0.31868131868131866,17.04399901477843,-8.06078087557604,2.114435223815761,1231
2025-05-22,GOOGL,0.020539271389496738,0.29951429823304343,0.28729904814838897,0.9729036696587844,-0.1209882569701548,0.3167420814479638,17.988917619047722,-8.084486754966886,2.2251156027926977,1281
2025-05-23,GOOGL,0.0037645519836180252,0.0817746811278175,0.28663444113604386,0.2155173010018628,-0.1209882569701548,0.3107913669064748,17.93700324074086,-8.080313361169091,2.2198400531023053,1340
2025-05-27,GOOGL,0.0041907907095068975,0.08300363524882814,0.28059958398530505,0.2245321762562828,-0.1209882569701548,0.31258644536652835,17.66969778761074,-8.021320925553306,2.2028413962743794,1397
2025-05-28,GOOGL,0.010701983752092303,0.1496874237563015,0.2756000067873595,0.4705639352772675,-0.1209882569701548,0.31866666666666665,17.220233054393425,-7.956183757338537,2.164383526022764,1449
2025-05-29,GOOGL,0.0020887894520280614,0.05634668117392927,0.27166665393732514,0.1337914707129077,-0.1209882569701548,0.3153846153846154,17.06768577235784,-7.87615074906366,2.1670085192804236,1504
2025-05-30,GOOGL,0.002666392131305706,0.0597630555661357,0.266590498443908,0.1491540613721537,-0.1209882569701548,0.317103620474407,17.075971259842646,-7.935414990859228,2.1518687150593117,1545
2025-06-02,GOOGL,-0.010607093495589859,-0.05728563855500135,0.2647802522602288,-0.29188596164280495,-0.1209882569701548,0.3156626506024096,16.74839160305355,-7.886732042253523,2.1236161585461866,1603
2025-06-03,GOOGL,-0.03328526289310596,-0.22095107191728758,0.2683553840059342,-0.8978805206753718,-0.1209882569701548,0.3115519253208868,16.577073408239812,-7.912496949152544,2.095049579768277,1655
2025-06-04,GOOGL,-0.03059318448400028,-0.19665027766981025,0.2640643362587941,-0.8204450503966726,-0.1209882569701548,0.3134160090191657,16.284018705036075,-7.801907060755341,2.0871843996895216,1715
